run_id,protocol,split_id,split_npz,dataset_pickle,n_components,downsample_factor,electrode_regions,apply_ts2vec,ts2vec_output_dims,ts2vec_epochs,ts2vec_hidden_dims,ts2vec_depth,ts2vec_batch_size,model_family,n_units,n_layers,stride_len,kernel_len,input_proj_dim,tcn_layers,tcn_kernel_size,transformer_heads,transformer_layers,transformer_ff_mult,specaug_on,white_noise_sd,constant_offset_sd,gaussian_smooth_width,frame_ms,n_batch,train_seed,selection_rank,note,subset_id,subset_method,subset_K,subset_random_seed,run_id_base,run_id_used,run_dir,eval_greedy_test_json,eval_lex_train_json,eval_lex_all_json,greedy_test_cer,greedy_test_wer,lex_train_cer,lex_train_wer,lex_all_cer,lex_all_wer,param_count,n_samples,total_chars,total_edits,split_seed,stream_rtf,stream_chunk_latency_ms,stream_end_to_end_latency_ms,stream_first_output_latency_ms,stream_model_family,stream_streaming_ready,lex_train_lexicon_source,lex_train_lexicon_size,lex_all_lexicon_source,lex_all_lexicon_size
P1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P1,seed0,raw_dataset/train_test_competition_split_seed0.npz,data/gc20260216/P1_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.0890625,0.43,0.378125,1.0,0.040625,0.12,10260827,100,640,57,None,0.0004502730412913504,0.02074947689825278,281.1439186614007,280.0,uni_gru,False,train,1064,all,1164
P1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P1,seed1,raw_dataset/train_test_competition_split_seed1.npz,data/gc20260216/P1_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.11323529411764706,0.51,0.4147058823529412,1.0,0.023529411764705882,0.06,10260827,100,680,77,None,0.0004670155443764302,0.02137962853426668,281.2455771584064,280.0,uni_gru,False,train,1064,all,1164
P1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P1,seed2,raw_dataset/train_test_competition_split_seed2.npz,data/gc20260216/P1_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.10714285714285714,0.44,0.3826530612244898,1.0,0.030612244897959183,0.08,10260827,100,588,63,None,0.0004906586948375596,0.022807457999381837,281.1777771310881,280.0,uni_gru,False,train,1064,all,1164
P1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P1,seed3,raw_dataset/train_test_competition_split_seed3.npz,data/gc20260216/P1_seed3_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.1095890410958904,0.48,0.4006849315068493,1.0,0.05650684931506849,0.16,10260827,100,584,64,None,0.0004682122519283694,0.021791603675218867,281.11420469591394,280.0,uni_gru,False,train,1064,all,1164
P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2,subj1_seed0,raw_dataset/protocolS_split_seed0_subj1_ds1.npz,data/gc20260216/P2_subj1_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P2_subj1_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.1224460839954597,0.5292096219931272,0.0673950056753689,0.17439862542955326,0.05320658342792282,0.13745704467353953,10260827,1164,7048,863,None,0.00010384718480232794,0.004809940911613944,280.25455496566775,280.0,uni_gru,False,train,1114,all,1164
P2_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2,subj1_seed1,raw_dataset/protocolS_split_seed1_subj1_ds1.npz,data/gc20260216/P2_subj1_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P2_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P2_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P2_subj1_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.11748013620885357,0.4896907216494845,0.06370601589103292,0.15807560137457044,0.05178774120317821,0.1254295532646048,10260827,1164,7048,828,None,0.0001247813830595549,0.005779378063917852,280.30642619982194,280.0,uni_gru,False,train,1114,all,1164
P2_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2,subj1_seed2,raw_dataset/protocolS_split_seed2_subj1_ds1.npz,data/gc20260216/P2_subj1_seed2_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P2_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P2_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P2_subj1_seed2_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.1093927355278093,0.47079037800687284,0.06498297389330307,0.15292096219931273,0.04866628830874007,0.11597938144329897,10260827,1164,7048,771,None,0.00011952668652814069,0.005537566951709659,280.2928773490104,280.0,uni_gru,False,train,1114,all,1164
P2_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2,subj1_seed3,raw_dataset/protocolS_split_seed3_subj1_ds1.npz,data/gc20260216/P2_subj1_seed3_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P2_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P2_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P2_subj1_seed3_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.10485244040862655,0.45618556701030927,0.060158910329171394,0.15206185567010308,0.047814982973893305,0.11855670103092783,10260827,1164,7048,739,None,0.00011563250060915117,0.005353604596494525,280.28424236913054,280.0,uni_gru,False,train,1114,all,1164
P2_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2,subj2_seed0,raw_dataset/protocolS_split_seed0_subj2_ds1.npz,data/gc20260216/P2_subj2_seed0_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P2_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P2_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P2_subj2_seed0_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.10712258796821793,0.46219931271477666,0.0627128263337117,0.16323024054982818,0.04909194097616345,0.12972508591065293,10260827,1164,7048,755,None,0.00012833525102274562,0.006120557577013899,280.26675430106485,280.0,uni_gru,False,train,1114,all,1164
P2_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2,subj2_seed1,raw_dataset/protocolS_split_seed1_subj2_ds1.npz,data/gc20260216/P2_subj2_seed1_raw_ds1_el-all.pkl,-1,1,all,0,,,,,,uni_gru,512,5,4,32,64,4,3,4,2,4,1,0.8,0.2,2.0,10.0,10000,0,,baseline,,,,,P2_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,P2_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216,logs/P2_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_greedy_test.json,logs/P2_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_train.json,logs/P2_subj2_seed1_raw_ds1_el-all_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_gc20260216/eval_lex_all.json,0.11052780930760499,0.4630584192439863,0.06299659477866061,0.16838487972508592,0.051220204313280365,0.13659793814432988,10260827,1164,7048,779,None,0.00011912231701458815,0.005675606903498937,280.2487466376134,280.0,uni_gru,False,train,1114,all,1164
